geography,count,total,industryName,id
E07000027,433,31190,"Water supply; Sewerage, Waste management and Remediation activities",328
E07000027,2522,31190,Construction,329
E07000027,4250,31190,Wholesale and retail trade; repair of motor vehicles and motorcycles,330
E07000027,928,31190,Transport and storage,331
E07000027,1728,31190,Accommodation and food service activities,332
E07000027,535,31190,Information and communication,333
E07000027,293,31190,Financial and insurance activities,334
E07000027,193,31190,Real estate activities,335
E07000027,828,31190,"Professional, scientific and technical activities",336
E07000027,1315,31190,Administrative and support service activities,337
E07000027,3315,31190,Public administration and defence; compulsory social security,338
E07000027,2239,31190,Education,339
E07000027,5167,31190,Human health and social work activities,340
E07000028,1552,52946,"Agriculture, Forestry and fishing",341
E07000028,62,52946,Mining and quarrying,342
E07000028,5431,52946,Manufacturing,343
E07000028,226,52946,"Electricity, gas, steam and air conditioning supply",344
E07000028,520,52946,"Water supply; Sewerage, Waste management and Remediation activities",345
E07000028,4630,52946,Construction,346
E07000028,9120,52946,Wholesale and retail trade; repair of motor vehicles and motorcycles,347
E07000028,3686,52946,Transport and storage,348
E07000028,3099,52946,Accommodation and food service activities,349
E07000028,968,52946,Information and communication,350
E07000028,869,52946,Financial and insurance activities,351
E07000028,608,52946,Real estate activities,352
E07000028,2080,52946,"Professional, scientific and technical activities",353
E07000028,2231,52946,Administrative and support service activities,354
E07000028,3339,52946,Public administration and defence; compulsory social security,355
E07000028,3977,52946,Education,356
E07000028,8462,52946,Human health and social work activities,357
E07000029,734,30572,"Agriculture, Forestry and fishing",358
E07000029,70,30572,Mining and quarrying,359
E07000029,1613,30572,Manufacturing,360
E07000029,588,30572,"Electricity, gas, steam and air conditioning supply",361
E07000029,5852,30572,"Water supply; Sewerage, Waste management and Remediation activities",362
E07000029,3523,30572,Construction,363
E07000029,3027,30572,Wholesale and retail trade; repair of motor vehicles and motorcycles,364
E07000029,789,30572,Transport and storage,365
E07000029,1665,30572,Accommodation and food service activities,366
E07000029,449,30572,Information and communication,367
E07000029,195,30572,Financial and insurance activities,368
E07000029,224,30572,Real estate activities,369
E07000029,1266,30572,"Professional, scientific and technical activities",370
E07000029,1606,30572,Administrative and support service activities,371
E07000029,1826,30572,Public administration and defence; compulsory social security,372
E07000029,2112,30572,Education,373
E07000029,4021,30572,Human health and social work activities,374
E07000030,2477,27336,"Agriculture, Forestry and fishing",375
E07000030,178,27336,Mining and quarrying,376
E07000030,1714,27336,Manufacturing,377
E07000030,119,27336,"Electricity, gas, steam and air conditioning supply",378
E07000030,260,27336,"Water supply; Sewerage, Waste management and Remediation activities",379
E07000030,2865,27336,Construction,380
E07000030,4280,27336,Wholesale and retail trade; repair of motor vehicles and motorcycles,381
E07000030,1279,27336,Transport and storage,382
E07000030,2867,27336,Accommodation and food service activities,383
E07000030,418,27336,Information and communication,384
E07000030,367,27336,Financial and insurance activities,385
E07000030,296,27336,Real estate activities,386
E07000030,1387,27336,"Professional, scientific and technical activities",387
E07000030,1177,27336,Administrative and support service activities,388
E07000030,1525,27336,Public administration and defence; compulsory social security,389
E07000030,2139,27336,Education,390
E07000030,2793,27336,Human health and social work activities,391
E07000031,1579,50137,"Agriculture, Forestry and fishing",392
E07000031,170,50137,Mining and quarrying,393
E07000031,3860,50137,Manufacturing,394
E07000031,391,50137,"Electricity, gas, steam and air conditioning supply",395
E07000031,383,50137,"Water supply; Sewerage, Waste management and Remediation activities",396
E07000031,4631,50137,Construction,397
E07000031,7634,50137,Wholesale and retail trade; repair of motor vehicles and motorcycles,398
E07000031,1311,50137,Transport and storage,399
E07000031,5811,50137,Accommodation and food service activities,400
E07000031,1249,50137,Information and communication,401
E07000031,740,50137,Financial and insurance activities,402
E07000031,738,50137,Real estate activities,403
E07000031,2697,50137,"Professional, scientific and technical activities",404
E07000031,2544,50137,Administrative and support service activities,405
E07000031,2490,50137,Public administration and defence; compulsory social security,406
E07000031,4996,50137,Education,407
E07000031,6180,50137,Human health and social work activities,408
E07000117,119,40037,"Agriculture, Forestry and fishing",409
E07000117,25,40037,Mining and quarrying,410
E07000117,5775,40037,Manufacturing,411
E07000117,130,40037,"Electricity, gas, steam and air conditioning supply",412
E07000117,224,40037,"Water supply; Sewerage, Waste management and Remediation activities",413
E07000117,3134,40037,Construction,414
E07000117,7832,40037,Wholesale and retail trade; repair of motor vehicles and motorcycles,415
E07000117,1792,40037,Transport and storage,416
E07000117,1742,40037,Accommodation and food service activities,417
E07000117,1064,40037,Information and communication,418
E07000117,666,40037,Financial and insurance activities,419
E07000117,487,40037,Real estate activities,420
E07000117,1297,40037,"Professional, scientific and technical activities",421
E07000117,2118,40037,Administrative and support service activities,422
E07000117,1927,40037,Public administration and defence; compulsory social security,423
E07000117,3453,40037,Education,424
E07000117,6870,40037,Human health and social work activities,425
E07000118,478,57242,"Agriculture, Forestry and fishing",426
E07000118,44,57242,Mining and quarrying,427
E07000118,4948,57242,Manufacturing,428
E07000118,353,57242,"Electricity, gas, steam and air conditioning supply",429
E07000118,475,57242,"Water supply; Sewerage, Waste management and Remediation activities",430
E07000118,5494,57242,Construction,431
E07000118,8984,57242,Wholesale and retail trade; repair of motor vehicles and motorcycles,432
E07000118,2364,57242,Transport and storage,433
E07000118,2137,57242,Accommodation and food service activities,434
E07000118,1955,57242,Information and communication,435
E07000118,1374,57242,Financial and insurance activities,436
E07000118,897,57242,Real estate activities,437
E07000118,3422,57242,"Professional, scientific and technical activities",438
E07000118,2714,57242,Administrative and support service activities,439
E07000118,4344,57242,Public administration and defence; compulsory social security,440
E07000118,5778,57242,Education,441
E07000118,9021,57242,Human health and social work activities,442
E07000119,335,35716,"Agriculture, Forestry and fishing",443
E07000119,30,35716,Mining and quarrying,444
E07000119,3306,35716,Manufacturing,445
E07000119,337,35716,"Electricity, gas, steam and air conditioning supply",446
E07000119,176,35716,"Water supply; Sewerage, Waste management and Remediation activities",447
E07000119,2605,35716,Construction,448
E07000119,4696,35716,Wholesale and retail trade; repair of motor vehicles and motorcycles,449
E07000119,1106,35716,Transport and storage,450
E07000119,2207,35716,Accommodation and food service activities,451
E07000119,1095,35716,Information and communication,452
E07000119,1061,35716,Financial and insurance activities,453
E07000119,579,35716,Real estate activities,454
E07000119,2131,35716,"Professional, scientific and technical activities",455
E07000119,1555,35716,Administrative and support service activities,456
E07000119,3682,35716,Public administration and defence; compulsory social security,457
E07000119,3404,35716,Education,458
E07000119,5686,35716,Human health and social work activities,459
E07000120,123,35620,"Agriculture, Forestry and fishing",460
E07000120,15,35620,Mining and quarrying,461
E07000120,4702,35620,Manufacturing,462
E07000120,170,35620,"Electricity, gas, steam and air conditioning supply",463
E07000120,244,35620,"Water supply; Sewerage, Waste management and Remediation activities",464
E07000120,3085,35620,Construction,465
E07000120,6678,35620,Wholesale and retail trade; repair of motor vehicles and motorcycles,466
E07000120,1829,35620,Transport and storage,467
E07000120,1377,35620,Accommodation and food service activities,468
E07000120,942,35620,Information and communication,469
E07000120,494,35620,Financial and insurance activities,470
E07000120,411,35620,Real estate activities,471
E07000120,1334,35620,"Professional, scientific and technical activities",472
E07000120,1518,35620,Administrative and support service activities,473
E07000120,1941,35620,Public administration and defence; compulsory social security,474
E07000120,3364,35620,Education,475
E07000120,6097,35620,Human health and social work activities,476
E07000121,1025,62402,"Agriculture, Forestry and fishing",477
E07000121,141,62402,Mining and quarrying,478
E07000121,3373,62402,Manufacturing,479
E07000121,1489,62402,"Electricity, gas, steam and air conditioning supply",480
E07000121,487,62402,"Water supply; Sewerage, Waste management and Remediation activities",481
E07000121,5032,62402,Construction,482
E07000121,8979,62402,Wholesale and retail trade; repair of motor vehicles and motorcycles,483
E07000121,2698,62402,Transport and storage,484
E07000121,3877,62402,Accommodation and food service activities,485
E07000121,1655,62402,Information and communication,486
E07000121,1074,62402,Financial and insurance activities,487
E07000121,621,62402,Real estate activities,488
E07000121,2846,62402,"Professional, scientific and technical activities",489
E07000121,2775,62402,Administrative and support service activities,490
E07000121,3183,62402,Public administration and defence; compulsory social security,491
E07000121,8785,62402,Education,492
E07000121,11611,62402,Human health and social work activities,493
E07000122,351,39622,"Agriculture, Forestry and fishing",494
E07000122,20,39622,Mining and quarrying,495
E07000122,6547,39622,Manufacturing,496
E07000122,88,39622,"Electricity, gas, steam and air conditioning supply",497
E07000122,192,39622,"Water supply; Sewerage, Waste management and Remediation activities",498
E07000122,3150,39622,Construction,499
E07000122,7539,39622,Wholesale and retail trade; repair of motor vehicles and motorcycles,500
E07000122,1977,39622,Transport and storage,501
E07000122,1768,39622,Accommodation and food service activities,502
E07000122,1014,39622,Information and communication,503
E07000122,825,39622,Financial and insurance activities,504
E07000122,419,39622,Real estate activities,505
E07000122,1575,39622,"Professional, scientific and technical activities",506
E07000122,1987,39622,Administrative and support service activities,507
E07000122,1583,39622,Public administration and defence; compulsory social security,508
E07000122,3516,39622,Education,509
E07000122,5631,39622,Human health and social work activities,510
E07000123,482,66636,"Agriculture, Forestry and fishing",511
E07000123,30,66636,Mining and quarrying,512
E07000123,6028,66636,Manufacturing,513
E07000123,363,66636,"Electricity, gas, steam and air conditioning supply",514
E07000123,444,66636,"Water supply; Sewerage, Waste management and Remediation activities",515
E07000123,4736,66636,Construction,516
E07000123,10995,66636,Wholesale and retail trade; repair of motor vehicles and motorcycles,517
E07000123,3161,66636,Transport and storage,518
E07000123,3023,66636,Accommodation and food service activities,519
E07000123,1860,66636,Information and communication,520
E07000123,1416,66636,Financial and insurance activities,521
E07000123,881,66636,Real estate activities,522
E07000123,2956,66636,"Professional, scientific and technical activities",523
E07000123,3564,66636,Administrative and support service activities,524
E07000123,5676,66636,Public administration and defence; compulsory social security,525
E07000123,6138,66636,Education,526
E07000123,12698,66636,Human health and social work activities,527
E07000124,860,30383,"Agriculture, Forestry and fishing",528
E07000124,42,30383,Mining and quarrying,529
E07000124,3289,30383,Manufacturing,530
E07000124,122,30383,"Electricity, gas, steam and air conditioning supply",531
E07000124,186,30383,"Water supply; Sewerage, Waste management and Remediation activities",532
E07000124,2763,30383,Construction,533
E07000124,4455,30383,Wholesale and retail trade; repair of motor vehicles and motorcycles,534
E07000124,794,30383,Transport and storage,535
E07000124,1433,30383,Accommodation and food service activities,536
E07000124,897,30383,Information and communication,537
E07000124,621,30383,Financial and insurance activities,538
E07000124,497,30383,Real estate activities,539
E07000124,2079,30383,"Professional, scientific and technical activities",540
E07000124,1166,30383,Administrative and support service activities,541
E07000124,1814,30383,Public administration and defence; compulsory social security,542
E07000124,3506,30383,Education,543
E07000124,4503,30383,Human health and social work activities,544
E07000125,164,33108,"Agriculture, Forestry and fishing",545
E07000125,48,33108,Mining and quarrying,546
E07000125,3447,33108,Manufacturing,547
E07000125,121,33108,"Electricity, gas, steam and air conditioning supply",548
E07000125,233,33108,"Water supply; Sewerage, Waste management and Remediation activities",549
E07000125,3173,33108,Construction,550
E07000125,5450,33108,Wholesale and retail trade; repair of motor vehicles and motorcycles,551
E07000125,1301,33108,Transport and storage,552
E07000125,1217,33108,Accommodation and food service activities,553
E07000125,1156,33108,Information and communication,554
E07000125,618,33108,Financial and insurance activities,555
E07000125,495,33108,Real estate activities,556
E07000125,1664,33108,"Professional, scientific and technical activities",557
E07000125,1528,33108,Administrative and support service activities,558
E07000125,1947,33108,Public administration and defence; compulsory social security,559
E07000125,3667,33108,Education,560
E07000125,5540,33108,Human health and social work activities,561
E07000126,451,54718,"Agriculture, Forestry and fishing",562
E07000126,30,54718,Mining and quarrying,563
E07000126,5309,54718,Manufacturing,564
E07000126,411,54718,"Electricity, gas, steam and air conditioning supply",565
E07000126,485,54718,"Water supply; Sewerage, Waste management and Remediation activities",566
E07000126,4891,54718,Construction,567
E07000126,8492,54718,Wholesale and retail trade; repair of motor vehicles and motorcycles,568
E07000126,2494,54718,Transport and storage,569
